SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1970,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1970,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1970,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1970,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1970,12.3809523809524
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1971,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1971,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1971,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1971,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1971,10.1402939998153
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1972,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1972,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1972,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1972,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1972,10.4690015512737
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1973,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1973,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1973,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1973,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1973,8.59684829393355
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1974,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1974,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1974,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1974,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1974,7.84183970304318
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1975,43.3962264150943
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1975,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1975,38.5725083846037
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1975,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1975,6.97857373793668
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1976,40.0785854616896
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1976,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1976,38.6878470556109
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1976,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1976,6.6427289048474
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1977,47.0588235294118
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1977,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1977,32.6793216594609
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1977,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1977,5.9967585089141
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1978,46.5185185185185
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1978,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1978,34.4478278670883
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1978,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1978,6.44718792866941
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1979,42.8474576271186
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1979,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1979,36.9458889915335
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1979,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1979,6.45709447011149
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1980,38.0541162924583
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,China,CHN,1980,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,India,IND,1980,31.5077838355887
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Russian Federation,RUS,1980,0.0
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,South Africa,ZAF,1980,6.66688431960141
"Communications, computer, etc. (% of service exports, BoP)",BX.GSR.CMCP.ZS,Brazil,BRA,1981,36.5121412803532
