SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1970.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1970.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1970.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1970.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1970.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1971.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1971.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1971.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1971.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1971.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1972.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1972.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1972.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1972.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1972.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1973.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1973.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1973.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1973.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1973.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1974.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1974.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1974.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1974.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1974.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1975.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1975.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1975.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1975.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1975.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Brazil;BRA;1976.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;China;CHN;1976.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;India;IND;1976.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;Russian Federation;RUS;1976.0;
Adjusted net savings, including particulate emission damage (% of GNI);NY.ADJ.SVNG.GN.ZS;South Africa;ZAF;1976.0;
