SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1970.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1970.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1970.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1970.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1970.0;6999997.20280112
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1971.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1971.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1971.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1971.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1971.0;-2778217.29030355
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1972.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1972.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1972.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1972.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1972.0;-10498823.6103337
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1973.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1973.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1973.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1973.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1973.0;-55978468.0855077
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1974.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1974.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1974.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1974.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1974.0;1421838.04534038
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1975.0;43000000.0
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1975.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1975.0;610141244.6318
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1975.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1975.0;49183285.9479906
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1976.0;38000000.0
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1976.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1976.0;1036045025.91755
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1976.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1976.0;22999999.98
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1977.0;63000000.0
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1977.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1977.0;1305990814.33644
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1977.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1977.0;2299999.998
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1978.0;112000000.0
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1978.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1978.0;1627066020.4021
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1978.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1978.0;6899999.994
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Brazil;BRA;1979.0;-21000000.0
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;China;CHN;1979.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;India;IND;1979.0;2045056927.61632
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;Russian Federation;RUS;1979.0;
Net secondary income (BoP, current US$);BN.TRF.CURR.CD;South Africa;ZAF;1979.0;27277133.6392958
