SeriesName,SeriesCode,CountryName,CountryCode,Year,Value
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1970,27340000.1525879
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1970,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1970,50299999.2370605
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1970,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1970,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1971,26239999.7711182
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1971,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1971,54930000.3051758
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1971,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1971,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1972,33919998.1689453
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1972,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1972,60250000.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1972,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1972,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1973,14630000.1144409
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1973,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1973,59439998.626709
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1973,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1973,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1974,19729999.5422363
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1974,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1974,59840000.1525879
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1974,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1974,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1975,24170000.0762939
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1975,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1975,92580001.8310547
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1975,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1975,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1976,18549999.2370605
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1976,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1976,90610000.6103516
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1976,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,South Africa,ZAF,1976,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Brazil,BRA,1977,26659999.8474121
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,China,CHN,1977,0.0
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,India,IND,1977,14899999.6185303
"Net bilateral aid flows from DAC donors, Germany (current US$)",DC.DAC.DEUL.CD,Russian Federation,RUS,1977,0.0
