SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1970.0;75160000.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1970.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1970.0;205000000.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1970.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;South Africa;ZAF;1970.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1971.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1971.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1971.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1971.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;South Africa;ZAF;1971.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1972.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1972.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1972.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1972.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;South Africa;ZAF;1972.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1973.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1973.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1973.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1973.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;South Africa;ZAF;1973.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1974.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1974.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1974.0;1403521.7
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1974.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;South Africa;ZAF;1974.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Brazil;BRA;1975.0;
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;China;CHN;1975.0;0.0
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;India;IND;1975.0;20715364.8
IMF repurchases and charges (TDS, current US$);DT.TDS.DIMF.CD;Russian Federation;RUS;1975.0;
