SeriesName;SeriesCode;CountryName;CountryCode;Year;Value
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1970.0;-75160000.0
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1970.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1970.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1970.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1970.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1971.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1971.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1971.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1971.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1971.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1972.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1972.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1972.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1972.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1972.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1973.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1973.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1973.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1973.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1973.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1974.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1974.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1974.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1974.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1974.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1975.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1975.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1975.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1975.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1975.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1976.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1976.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1976.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1976.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1976.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1977.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;China;CHN;1977.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;India;IND;1977.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Russian Federation;RUS;1977.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;South Africa;ZAF;1977.0;
Net financial flows, IMF nonconcessional (NFL, current US$);DT.NFL.IMFN.CD;Brazil;BRA;1978.0;
