SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1970,0.0,,,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1970,0.0,,,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1970,0.0,,,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1970,0.0,,,0.0
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1970,3316598674.68717,inf,663319734.937434,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1971,0.0,-100.0,663319734.937434,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1971,0.0,,663319734.937434,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1971,0.0,,663319734.937434,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1971,0.0,,663319734.937434,3316598674.68717
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1971,3622301658.24039,inf,724460331.648078,6938900332.92756
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1972,0.0,-100.0,724460331.648078,6938900332.92756
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1972,0.0,,724460331.648078,6938900332.92756
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1972,0.0,,724460331.648078,6938900332.92756
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1972,0.0,,724460331.648078,6938900332.92756
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1972,4511200021.12327,inf,902240004.224654,11450100354.05083
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1973,0.0,-100.0,902240004.224654,11450100354.05083
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1973,0.0,,902240004.224654,11450100354.05083
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1973,0.0,,902240004.224654,11450100354.05083
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1973,0.0,,902240004.224654,11450100354.05083
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1973,6239348867.30073,inf,1247869773.460146,17689449221.351562
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1974,0.0,-100.0,1247869773.460146,17689449221.351562
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1974,0.0,,1247869773.460146,17689449221.351562
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1974,0.0,,1247869773.460146,17689449221.351562
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1974,0.0,,1247869773.460146,17689449221.351562
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1974,8747567732.17531,inf,1749513546.435062,26437016953.52687
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1975,8492000000.0,-2.921586205446347,3447913546.4350615,34929016953.52687
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1975,0.0,-100.0,3447913546.4350615,34929016953.52687
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1975,4666099650.11734,inf,4381133476.458529,39595116603.64421
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1975,0.0,-100.0,4381133476.458529,39595116603.64421
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1975,8839265940.9847,inf,4399473118.2204075,48434382544.62891
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1976,9961000000.0,12.690353096111728,4693273118.2204075,58395382544.62891
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1976,0.0,-100.0,4693273118.2204075,58395382544.62891
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1976,5410356406.96001,inf,4842124469.588942,63805738951.58891
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1976,0.0,-100.0,4842124469.588942,63805738951.58891
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1976,8559449992.557,inf,4786161279.903402,72365188944.14592
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1977,11923000000.0,39.2963334135701,5178561279.903402,84288188944.14592
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1977,0.0,-100.0,5178561279.903402,84288188944.14592
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1977,6249084080.69098,inf,5346306814.649595,90537273024.8369
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1977,0.0,-100.0,5346306814.649595,90537273024.8369
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1977,10494899990.874,inf,5733396814.312996,101032173015.7109
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1978,12473000000.0,18.848202563588856,5843396814.312996,113505173015.7109
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1978,0.0,-100.0,5843396814.312996,113505173015.7109
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1978,6517736182.71147,inf,5897127234.717094,120022909198.42238
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1978,0.0,-100.0,5897127234.717094,120022909198.42238
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1978,12993849988.701,inf,6396917234.282494,133016759187.12338
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1979,15244000000.0,17.317038547125385,6951117234.282494,148260759187.12338
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1979,0.0,-100.0,6951117234.282494,148260759187.12338
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1979,7597036165.3426,inf,7166977230.808719,155857795352.46597
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1979,0.0,-100.0,7166977230.808719,155857795352.46597
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1979,17690058600.7603,inf,8106218953.220581,173547853953.22626
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1980,20132000000.0,13.804032277964007,9083818953.220581,193679853953.22626
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1980,0.0,-100.0,9083818953.220581,193679853953.22626
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,India,IND,1980,8303140035.18869,inf,9225039727.189798,201982993988.41495
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Russian Federation,RUS,1980,0.0,-100.0,9225039727.189798,201982993988.41495
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,South Africa,ZAF,1980,26013394351.1982,inf,10889706877.277378,227996388339.61316
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,Brazil,BRA,1981,23276000000.0,-10.52301869660509,11518506877.277378,251272388339.61316
"Goods exports (BoP, current US$)",BX.GSR.MRCH.CD,China,CHN,1981,0.0,-100.0,11518506877.277378,251272388339.61316
