SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1970,0.0,,,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1970,0.0,,,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1970,0.0,,,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1970,0.0,,,0.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1970,3385000000.0,inf,677000000.0,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1971,0.0,-100.0,677000000.0,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1971,0.0,,677000000.0,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1971,0.0,,677000000.0,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1971,0.0,,677000000.0,3385000000.0
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1971,3528012971.99676,inf,705602594.399352,6913012971.996759
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1972,0.0,-100.0,705602594.399352,6913012971.996759
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1972,0.0,,705602594.399352,6913012971.996759
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1972,0.0,,705602594.399352,6913012971.996759
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1972,0.0,,705602594.399352,6913012971.996759
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1972,4207929289.32987,inf,841585857.8659741,11120942261.32663
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1973,0.0,-100.0,841585857.8659741,11120942261.32663
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1973,0.0,,841585857.8659741,11120942261.32663
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1973,0.0,,841585857.8659741,11120942261.32663
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1973,0.0,,841585857.8659741,11120942261.32663
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1973,6060153232.77878,inf,1212030646.555756,17181095494.105408
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1974,0.0,-100.0,1212030646.555756,17181095494.105408
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1974,0.0,,1212030646.555756,17181095494.105408
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1974,0.0,,1212030646.555756,17181095494.105408
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1974,0.0,,1212030646.555756,17181095494.105408
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1974,7983966106.25461,inf,1596793221.250922,25165061600.360016
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1975,0.07870401453,-99.99999999901422,1596793221.2666628,25165061600.43872
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1975,0.0,-100.0,1596793221.2666628,25165061600.43872
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1975,111612059107.877,inf,23919205042.842064,136777120708.31572
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1975,0.0,-100.0,23919205042.842064,136777120708.31572
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1975,7398371421.3895,inf,23802086105.86904,144175492129.70523
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1976,0.11386039726,-99.999999998461,23802086105.876072,144175492129.8191
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1976,0.0,-100.0,23802086105.876072,144175492129.8191
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1976,146582843116.739,inf,30796242907.648476,290758335246.5581
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1976,0.0,-100.0,30796242907.648476,290758335246.5581
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1976,8063000000.0,inf,30929168623.370575,298821335246.5581
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1977,0.17916685759,-99.9999999977779,30929168623.383636,298821335246.73724
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1977,0.0,-100.0,30929168623.383636,298821335246.73724
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1977,160247975839.756,inf,33662195167.987038,459069311086.4933
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1977,0.0,-100.0,33662195167.987038,459069311086.4933
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1977,9107000000.0,inf,33870995167.987038,468176311086.4933
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1978,0.25702655012,-99.9999999971777,33870995168.002605,468176311086.7503
Gross savings (current LCU),NY.GNS.ICTR.CN,China,CHN,1978,0.0,-100.0,33870995168.002605,468176311086.7503
Gross savings (current LCU),NY.GNS.ICTR.CN,India,IND,1978,169663438950.644,inf,35754087790.18021,637839750037.3943
Gross savings (current LCU),NY.GNS.ICTR.CN,Russian Federation,RUS,1978,0.0,-100.0,35754087790.18021,637839750037.3943
Gross savings (current LCU),NY.GNS.ICTR.CN,South Africa,ZAF,1978,10892000000.0,inf,36111087790.18021,648731750037.3943
Gross savings (current LCU),NY.GNS.ICTR.CN,Brazil,BRA,1979,0.39715623649,-99.99999999635368,36111087790.20824,648731750037.7915
