SeriesName,SeriesCode,CountryName,CountryCode,Year,Value,Value_Change,5yr_Rolling_Avg,Cumulative_Sum
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1970,0.0,,,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1970,0.0,,,0.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1970,1065196000.0,inf,,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1970,0.0,-100.0,,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1970,0.0,,213039200.0,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1971,0.0,,213039200.0,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1971,0.0,,213039200.0,1065196000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1971,1170138000.0,inf,234027600.0,2235334000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1971,0.0,-100.0,234027600.0,2235334000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1971,0.0,,234027600.0,2235334000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1972,0.0,,234027600.0,2235334000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1972,0.0,,234027600.0,2235334000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1972,1608727000.0,inf,321745400.0,3844061000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1972,0.0,-100.0,321745400.0,3844061000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1972,0.0,,321745400.0,3844061000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1973,0.0,,321745400.0,3844061000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1973,0.0,,321745400.0,3844061000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1973,1928853000.0,inf,385770600.0,5772914000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1973,0.0,-100.0,385770600.0,5772914000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1973,0.0,,385770600.0,5772914000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1974,0.0,,385770600.0,5772914000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1974,0.0,,385770600.0,5772914000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1974,2323664000.0,inf,464732800.0,8096578000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1974,0.0,-100.0,464732800.0,8096578000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1974,0.0,,464732800.0,8096578000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1975,0.0,,464732800.0,8096578000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1975,0.0,,464732800.0,8096578000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1975,2808602000.0,inf,561720400.0,10905180000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1975,0.0,-100.0,561720400.0,10905180000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1975,0.0,,561720400.0,10905180000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1976,0.0,,561720400.0,10905180000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1976,0.0,,561720400.0,10905180000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1976,3332968000.0,inf,666593600.0,14238148000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1976,0.0,-100.0,666593600.0,14238148000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1976,0.0,,666593600.0,14238148000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1977,0.0,,666593600.0,14238148000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1977,0.0,,666593600.0,14238148000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1977,3655841000.0,inf,731168200.0,17893989000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1977,0.0,-100.0,731168200.0,17893989000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1977,0.0,,731168200.0,17893989000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1978,0.0,,731168200.0,17893989000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,China,CHN,1978,0.0,,731168200.0,17893989000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,India,IND,1978,3972025000.0,inf,794405000.0,21866014000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Russian Federation,RUS,1978,0.0,-100.0,794405000.0,21866014000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,South Africa,ZAF,1978,0.0,,794405000.0,21866014000.0
"PPG, IDA (DOD, current US$)",DT.DOD.MIDA.CD,Brazil,BRA,1979,0.0,,794405000.0,21866014000.0
